name,band
"Johansen, Håkon Mjåset",Come Shine
"Johansen, Nils-Olav",Farmers Market
"Johansen, Nils-Olav",Storytellers
"Johansen, Nils-Olav",TINGeLING
"Johansen, Nils-Olav",Trondheim Jazz Orchestra
"Johansen, Per Oddvar",TINGeLING
"Johansen, Per Oddvar",Trondheim Jazz Orchestra
"Johansen, Tore",Trondheim Jazz Orchestra
"Johansen, Vidar",Ab und Zu
John Altenburgh,Johnny & The MoTones
John Clayton,Clayton-Hamilton Jazz Orchestra
John Eacott,Loose Tubes
John Ebersson,Jazzpunkensemblet
John Helliwell,The Alan Bown Set
John Lee Clayton Jr.,Clayton-Hamilton Jazz Orchestra
John Lewis,Modern Jazz Quartet
John M. Wicks,Skerik's Syncopated Taint Septet
John McEntire,The Sea and Cake
John Medeski,Medeski Martin & Wood
John Molo,ModeReko
John Munson,The New Standards
John Oates,Hall & Oates
John Paris,"Earth, Wind & Fire"
John Parricelli,Loose Tubes
John Popper,The John Popper Project
John Popper,The John Popper Project Featuring DJ Logic
John Pål Inderberg,Trondheim Jazz Orchestra
John Sheard,The Henrys
John Tropea,Paul Peress
John Tropea,"Peress, Paul"
"John, Leafcutter",Polar Bear
"John, Leafcutter",Melt Yourself Down
Johnny Alegre,Johnny Alegre AFFINITY
Johnny Almond,Mark-Almond
Johnny Cunningham,Nightnoise
Johnny Vidacovich,Astral Project
"Johnson, Kim","Earth, Wind & Fire"
"Johnson, Marc",Night Ark
"Johnson, Ralph","Earth, Wind & Fire"
Jon Audun Baar,Pixel
Jon Balke,1300
Jon Balke,Masqualero
Jon Balke,Magnetic North Orchestra
Jon Balke,Batagraf
Jon Christensen,1300
Jon Christensen,Masqualero
Jon Eberson,Jazzpunkensemblet
Jon Mark,Mark-Almond
Jonah Parzen-Johnson,Zongo Junction
Jonas Gladnikoff,Technicoloured Roses
Jonas Kilmork Vemøy,Pixel
"Jones, Karen",Kit McClure Band
Jordan McLean,Antibalas
"Jormin, Anders",Magnetic North Orchestra
"Joseph, Anthony",Anthony Joseph & The Spasm Band
"Joseph, Kirk",Dirty Dozen Brass Band
Josh Deutsch,The Hipstones
José Pasillas,Time-Lapse Consortium
Juan Bautists Alegre,Johnny Alegre AFFINITY
Julian Argüelles,Loose Tubes
June Yamagishi,Papa Grows Funk
Jørgen Mathisen,The Core
Jørgen Mathisen,Trondheim Jazz Orchestra
"Jørgensen, Per",Magnetic North Orchestra
Jørn Øien,Oofotr
Kai Eckhardt,Garaj Mahal
"Kamerun, Schorsch",Die Goldenen Zitronen
"Kamfjord, Olaf",Ab und Zu
"Kannegård, Maria",TINGeLING
"Kapestad, Kenneth",Dadafon
Karen Jones,Kit McClure Band
Kartika Jahja,TIKA and The Dissidents
Kaveh Rastegar,Kneebody
"Kay, Connie",Modern Jazz Quartet
Kayamar,WindSingers
Kazik Staszewski,Kult
Ken Stubbs,Loose Tubes
Kenneth Ekornes,Ab und Zu
Kenneth Kapestad,Dadafon
Kenneth Kapstad,Dadafon
Kenny Davis,Timeline
"Kenny, Ben",Time-Lapse Consortium
Kim Clarke,Kit McClure Band
Kim Johnson,"Earth, Wind & Fire"
Kim Myhr,Trondheim Jazz Orchestra
Kim Richmond,Chris Walden Big Band
"Kinch, Steve",Manfred Mann's Earth Band
"Kinchla, Thaddeus Arwood",The John Popper Project
"Kinchla, Thaddeus Arwood",The John Popper Project Featuring DJ Logic
"King, David",The Bad Plus
"King, David",Happy Apple
Kirk Joseph,Dirty Dozen Brass Band
Kirsti Huke,Trondheim Voices
Kit McClure,Kit McClure Band
Kit Mcclure,Kit McClure Band
"Kjellemyr, Bjørn",Jazzpunkensemblet
Kjersti Stubø,Kvitretten
Kjersti Stubø,Oofotr
Kjetil Møster,Trondheim Jazz Orchestra
Kjetil Møster,Ultralyd
"Klein, Dani",Vaya Con Dios
"Kleive, Audun",1300
"Kleive, Audun",Extended Noise
"Kleive, Audun",Generator X
Knut Riisnæs,Oslo Groove Company
"Kolstad, Per",Lava
"Kornstad, Håkon",Wibutee
"Krebs, Pete",The Stolen Sweets
"Kreken, Tor Egil",Wibutee
Kristin Asbjørnsen,Kvitretten
Kristin Asbjørnsen,Dadafon
"Kruse, Anine",Pitsj
"Kruse, Benedikte Shetelig",Pitsj
"Kurstin, Greg",Geggy Tah
Kurt Rosenwinkel,Human Feel
"Kvernberg, Ola",Trondheim Jazz Orchestra
Kye Palmer,Clayton-Hamilton Jazz Orchestra
Kye Palmer,Chris Walden Big Band
Kyla-Rose Smith,Freshlyground
Kåre Nymark Jr.,Funky Butt
